id,img,field,name,brand,price,pricestring,ram,rom,maincamrez,selficamrez,tarakompixeli,description
1,1,phone,گوشی شیائومی Redmi A5,shi,7349000,۷.۳۴۹.۰۰۰,4,128,32,8,260,گوشی Redmi A5 به‌عنوان یکی از گزینه‌های اقتصادی بازار در سال ۲۰۲۵، با نمایشگر بزرگ ۶.۸۸ اینچی IPS LCD و نرخ تازه‌سازی ۱۲۰ هرتز، تجربه دیداری بسیار روانی ارائه می‌دهد. رزولوشن ۷۲۰×۱۶۴۰ پیکسل با تراکم حدود ۲۶۰ پیکسل در هر اینچ کیفیت تصویر قابل قبولی برای استفاده روزمره فراهم می‌کند و برای یک گوشی اقتصادی قابل قبول است. این دستگاه مجهز به تراشه Unisoc T7250 هشت هسته‌ای است که عملکرد خوبی در اجرای برنامه‌های سبک و متوسط دارد و برای استفاده معمولی و گشت و گذار در شبکه‌های اجتماعی می‌توانید روی آن حساب کنید. دوربین اصلی ۳۲ مگاپیکسلی با قابلیت HDR عکس‌هایی با جزئیات مناسب ثبت می‌کند و دوربین سلفی ۸ مگاپیکسلی نیز برای تماس‌های ویدیویی و سلفی‌های روزمره کافی است. Redmi A5 از باتری با ظرفیت بسیار خوب ۵۲۰۰ میلی‌آمپر ساعتی بهره می‌برد که دوام خوبی در استفاده طولانی‌مدت ارائه می‌کند و با شارژر ۱۵ واتی همراه است. همچنین حسگر اثر انگشت جانبی، جک ۳.۵ میلی‌متری هدفون و پشتیبانی از کارت حافظه microSD از دیگر ویژگی‌های این گوشی هستند. سیستم‌عامل اندروید ۱۵ نسخه با وعده دو آپدیت اصلی، بهینه‌سازی مناسبی برای سخت‌افزار این دستگاه است و به طور کلی Redmi A5 انتخابی مقرون‌به‌صرفه برای کاربرانی است که به دنبال گوشی با نمایشگر بزرگ، باتری قوی و عملکرد قابل قبول در رده اقتصادی هستند.
2,2,phone,گوشی سامسونگ Galaxy A06,sam,7649000,۷.۶۴۹.۰۰۰,4,64,50,8,262,Samsung Galaxy A06 یکی از گوشی‌های اقتصادی و جدید سامسونگ است که با طراحی شیک، صفحه‌نمایش بزرگ و باتری قدرتمند، گزینه‌ای ایده‌آل برای کاربران روزمره محسوب می‌شود. این گوشی دارای نمایشگر 6.7 اینچی PLS LCD با رزولوشن 720x1600 پیکسل است که تجربه بصری مناسبی را ارائه می‌دهد. در بخش دوربین، از یک حسگر 50 مگاپیکسلی در کنار دوربین ماکرو 2 مگاپیکسلی استفاده شده است که در شرایط نوری مناسب، تصاویر واضح و باکیفیتی ثبت می‌کند. سامسونگ در این مدل از پردازنده MediaTek Helio G85 استفاده کرده که برای کارهای روزمره و اجرای برنامه‌های معمولی، عملکرد خوبی دارد. این گوشی با سیستم‌عامل اندروید 14 و رابط کاربری One UI 6.1 عرضه شده که تجربه نرم‌افزاری به‌روزی را برای کاربران به همراه دارد. همچنین، باتری 5000 میلی‌آمپر ساعتی آن، شارژدهی بالایی دارد و از شارژ سریع 25 واتی پشتیبانی می‌کند. اگر به دنبال یک گوشی هوشمند با قیمت مناسب و امکانات قابل قبول هستید، Galaxy A06 گزینه‌ای ارزشمند خواهد بود.
3,3,phone,گوشی شیائومی Redmi Note 14 4G,shi,16600000,۱۶.۶۰۰.۰۰۰,8,256,108,20,395,شیائومی Redmi Note 14 4G یکی از جدیدترین گوشی‌های سری نوت شیائومی است که همواره از پرفروش‌ترین سری‌های شیائومی بوده‌اند. این موبایل که در ژانویه 2025 معرفی شد، با ابعاد 163.3x76.6x8.2 میلی‌متر و وزن 196.5 گرم طراحی‌ای زیبا و ارگونومیکی دارد. از طرفی با مقاومت در برابر پاشش آب و گرد و غبار و داشتن استاندارد IP54 در شرایط مختلف دوام و پایداری بیشتری ارائه می‌دهد. صفحه ‌نمایش 6.67 اینچی AMOLED با نرخ بروزرسانی 120 هرتز و روشنایی 1800 نیت، نمایش تصاویری زنده و شفاف را تضمین می‌کند. فناوری Always-on Display تجربه‌ای منحصربه‌فرد در مشاهده محتوا فراهم می‌کند. محافظ Corning Gorilla Glass 5 نیز صفحه نمایش را در برابر خط و خش محافظت می‌کند. پردازنده بهینه Mediatek Helio G99 Ultra با معماری 6 نانومتری، در کنار پردازنده گرافیکی Mali-G57 MC2، عملکردی روان و بی‌نقص در اجرای اپلیکیشن‌ها و بازی‌های نیمه سنگین ارائه می‌دهد. باتری 5500 میلی‌آمپرساعتی با قابلیت شارژ سریع 33 وات نیز استفاده طولانی ‌مدت و شارژ سریع را تضمین می‌کند. دوربین اصلی 108 مگاپیکسلی با لنز عریض و فناوری فوکوس PDAF، تصاویری شفاف و حرفه‌ای ثبت می‌کند. دوربین ماکرو 2 مگاپیکسلی تجربه‌ای جذاب برای عکاسی از جزئیات فراهم می‌کند. دوربین سلفی 20 مگاپیکسلی برای عکس‌های شخصی و تماس‌های تصویری بسیار مناسب است. در پایان، ردمی نوت 14 4G با سیستم‌عامل Android 14، بلوتوث 5.3، و حسگر اثرانگشت زیر صفحه نمایش، Redmi Note 14 4G مجموعه‌ای از طراحی زیبا، عملکرد قدرتمند و امکانات متنوع را ارائه می‌دهد که نیازهای کاربران را به‌خوبی برآورده خواهد کرد.
4,4,phone,گوشی شیائومی Poco C71,shi,7260000,۷.۲۶۰.۰۰۰,4,128,32,8,260,گوشی Xiaomi Poco C71 یکی از اقتصادی‌های به روز از سری پوکو است که با ترکیب ویژگی‌هایی همچون نمایشگر روان، باتری پرظرفیت و نرم‌افزار به‌روز، تجربه‌ای فراتر از انتظار ارائه می‌دهد. این گوشی با ضخامت 8.3 میلی‌متر و وزن 193 گرم، طراحی ساده اما مقاومی دارد و طبق اعلام شرکت سازنده، در برابر پاشش آب و گرد و غبار مقاوم است. نمایشگر 6.88 اینچی از نوع IPS LCD با نرخ نوسازی بسیار خوب 120 هرتزی، تماشای محتوا و پیمایش رابط کاربری را روان و لذت‌بخش می‌کند. هرچند وضوح 720×1640 پیکسل تراکم پیکسلی متوسطی دارد، اما روشنایی 600 نیتی آن، خوانایی نسبتا مناسبی را حتی زیر نور مستقیم خورشید فراهم می‌سازد. قدرت پردازشی این گوشی توسط تراشه Unisoc T7250 تأمین می‌شود که برای کاربری روزمره و اجرای برنامه‌های سبک عملکرد رضایت‌بخشی دارد. پشتیبانی از کارت حافظه microSD هم مزیت مهمی در بین گوشی‌های روز محسوب می‌شود. در بخش دوربین، Poco C71 به سنسور اصلی 32 مگاپیکسلی و دوربین سلفی 8 مگاپیکسلی مجهز است که در نور کافی، تصاویر با جزئیات و رنگ‌های طبیعی ثبت می‌کنند. امکاناتی مانند HDR و فیلم‌برداری Full HD هم از دیگر مزیت‌هایی هستند که باعث می‌شوند بتوانید روی تصویربرداری این گوشی حساب کنید. باتری 5200 میلی‌آمپر ساعتی این دستگاه، شارژدهی طولانی‌مدتی را ارائه می‌دهد و با توان شارژ 15 واتی، سرعت شارژی در حد یک گوشی اقتصادی را ارائه می‌دهد. در مجموع با کنار هم گذاشتن تمامی این ویژگی‌ها می‌توان Poco C71 را انتخابی ارزشمند برای افرادی دانست که به دنبال یک گوشی اقتصادی با امکانات متعادل و طراحی مدرن هستند.
5,5,phone,گوشی شیائومی Redmi 13,shi,11300000,۱۱.۳۰۰.۰۰۰,8,256,108,13,396,سری Redmi گوشی‌های هوشمند میان‌رده شیائومی تا به امروز توانسته‌اند با بهره بردن از مشخصات فنی قدرتمند و البته قیمتی مقرون به‌صرفه، عملکرد بسیار درخشانی را از خود به جای بگذارند و شیائومی Redmi Note 13 یکی از این میان‌رده‌های دوست داشتنی است که در برخی از مشخصات فنی در نظر گرفته شده امکاناتی در حد و اندازه یک پرچمدار را در اختیارتان قرار می‌دهد. این گوشی به صفحه‌نمایش با ابعاد 6.67 اینچ و رزولوشن 1080×2400 پیکسل از نوع امولد با نمایش 395 پیکسل در هر اینچ مجهز شده است. نرخ بروزرسانی 120 هرتز و حداکثر روشنایی 1800 نیت (nits) صفحه‌نمایش سبب شده تا عملکرد روان و بدون لگ را شاهد باشید و حتی زیر تابش مستقیم نور خورشید هم وضوح تصویر بسیار خوبی را در اختیارتان قرار می‌دهد. یک سنسور دوربین اصلی 108 مگاپیکسل در کنار سنسور 8 مگاپیکسل فوق‌عریض و سنسور 2 مگاپیکسل ماکرو در قسمت پشتی در نظر گرفته شده است. حضور سنسور دوربین اصلی قدرتمند سبب شده تا عملکرد بسیار خوبی را در زمینه عکاسی نور روز و نور شب شاهد باشید. بریدگی دایره‌ای شکل ناچ در قسمت بالایی و مرکزی صفحه‌نمایش، سنسور دوربین سلفی را در خود جای داده است. حضور پردازنده شش نانومتری Qualcomm SM6225 Snapdragon 685 هم سبب شده تا Redmi Note 13 در اجرای بازی‌های محبوب و نرم‌افزار‌های کاربردی، عملکردی کاملا قابل قبولی داشته باشد. باتری با میزان ظرفیت 5000 میلی‌آمپر‌ساعت در کنار فناوری شارژ سریع 33 وات از دیگر مشخصات در نظر گرفته شده هستند. در محموع باید بگوییم که اگر به دنبال گوشی میان‌رده خوش قیمتی هستید که در برخی از مشخصات فنی در نظر گرفته شده حتی توانایی ارائه عملکردی در حد و اندازه یک پرچمدار را داشته باشد، شیائومی Redmi Note 13 می‌تواند یکی از گزینه‌های بسیار مناسب برای شما باشد.
6,6,phone,گوشی اپل iPhone 16 CH,iph,90699000,۹۰.۶۹۹.۰۰۰,8,128,48,12,460,گوشی موبایل اپل مدل iPhone 16، به عنوان یکی از جدیدترین مدل‌های این برند معتبر، با طراحی مدرن و ویژگی‌های پیشرفته، تجربه‌ای بی‌نظیر از دنیای تکنولوژی را برای کاربران فراهم می‌کند. این گوشی با ظرفیت 128 گیگابایت و رم 8 گیگابایت، عملکردی سریع و روان را ارائه می‌دهد که به راحتی از پس کارهای روزمره و multitasking برمی‌آید. طراحی این دستگاه با دقت و ظرافت بالا انجام شده و بدنه آن از مواد با کیفیت ساخته شده است که حس لوکس بودن را به کاربر منتقل می‌کند. قابلیت پشتیبانی از دو سیم کارت، امکان استفاده همزمان از دو شماره تلفن را برای کاربران فراهم می‌کند که این ویژگی به‌خصوص برای افرادی که به دو شماره مختلف برای کار و زندگی شخصی نیاز دارند بسیار مفید است. دوربین‌های با کیفیت iPhone 16، تجربه عکاسی فوق‌العاده‌ای را ارائه می‌دهند و با فناوری‌های نوین، امکان ثبت لحظات خاص با جزئیات بالا را فراهم می‌کنند. همچنین، باتری با عمر طولانی و قابلیت‌های شارژ سریع، این اطمینان را به شما می‌دهد که می‌توانید در طول روز به راحتی از گوشی خودتان استفاده کنید. به‌طور کلی، iPhone 16 یک انتخاب عالی برای کسانی است که به دنبال ترکیبی از کیفیت، قدرت و طراحی مدرن هستند. همانطور که می‌دانید گوشی‌های آیفون با پارت نامبرهای مختلفی از جمله CH، ZAA، LLAT ZPAو ... در بازار وجود دارند. پارت نامبر CH مربوط به کشور چین است که تفاوت خاصی با دیگر پارت نامبرها ندارند و تنها در مورد استفاده از تماس‌های صوتی و تماس‌های گروهی در نرم افزار فیس تایم شامل محدودیت است. این پارت نامبر از دو سیم‌کارت فیزیکی پشتیبانی می‌کند که یک نکته مثبت محسوب می‌شود. این گوشی، مانند تمامی گوشی‌های عرضه‌شده در دیجی‌کالا، به صورت قانونی و تجاری وارد کشور شده و با رجیستر رسمی، کارت گارانتی معتبر و کد فعال‌سازی به شما تحویل داده می‌شود.
7,7,phone,گوشی سامسونگ S24 FE,sam,46536700,۴۶.۵۳۶.۷۰۰,8,256,50,10,385,گوشی موبایل سامسونگ مدل S24 FE با ظرفیت 256 گیگابایت و رم 8 گیگابایت، یکی از محصولات برجسته و محبوب در بازار گوشی‌های هوشمند است. این گوشی به‌خوبی توانسته است ترکیبی از عملکرد قدرتمند و قیمت مناسب را به کاربران ارائه دهد. با پردازنده سریع و کارآمد، کاربران می‌توانند به‌راحتی از برنامه‌ها و بازی‌های سنگین استفاده کنند. صفحه نمایش ۶.۷ اینچی با پنل Dynamic AMOLED ۲X تصاویر زنده و با کیفیتی را ارائه می‌دهد و تجربه تماشای فیلم را به سطح جدیدی ارتقا می‌دهد. دوربین اصلی 50 مگاپیکسلی این گوشی به همراه دوربین سلفی ۱۰ مگاپیکسلی، قابلیت‌های عکاسی فوق‌العاده‌ای را فراهم می‌آورد که نیازهای عکاسان حرفه‌ای و آماتور را برآورده می‌کند. باتری ۴۵۶۵ میلی‌آمپر ساعتی با قابلیت شارژ سریع، امکان استفاده طولانی‌مدت از گوشی را فراهم می‌سازد. همچنین، طراحی زیبا و کیفیت ساخت بالا، این گوشی را به گزینه‌ای ایده‌آل برای کسانی که به دنبال یک تلفن هوشمند با کارایی بالا و قیمت مناسب هستند، تبدیل کرده است. سامسونگ S24 FE به‌عنوان یک انتخاب هوشمندانه در دنیای گوشی‌های هوشمند، توانسته است نظر کاربران را به خود جلب کند.
8,8,phone,گوشی سامسونگ Galaxy A56,sam,33287300,۳۳.۲۸۷.۳۰۰,8,256,50,12,385,سامسونگ با Galaxy A56، میان‌رده‌ای را روانه بازار کرده است که در بسیاری از بخش‌ها با پرچم‌داران رقابت می‌کند. این گوشی با قاب پشتی و جلویی شیشه‌ای و فریم آلومینیومی، حس یک محصول لوکس را به‌خوبی منتقل می‌کند و با وزن متعادل ۱۹۸ گرمی و ضخامت ۷.۴ میلی‌متری، هم خوش‌دست است و هم با داشتن گواهی IP67 بدنه مستحکم و ضد آبی دارد. نمایشگر ۶.۷ اینچی Super AMOLED آن با نرخ نوسازی ۱۲۰ هرتز، روشنایی ۱۹۰۰ نیتی و پشتیبانی از HDR10+ تجربه بصری فوق‌العاده‌ای رقم می‌زند. در قلب A56 تراشه ۴ نانومتری Exynos 1580 قرار دارد و با تکنولوژی حافظه UFS 3.1، عملکردی سریع و روان را در اپ‌ها و بازی‌ها تضمین می‌کند. دوربین اصلی ۵۰ مگاپیکسلی با OIS، دوربین فوق‌عریض ۱۲ مگاپیکسلی و لنز ماکروی ۵ مگاپیکسلی، مجموعه‌ای کامل برای عکاسی روزمره هستند. دوربین سلفی ۱۲ مگاپیکسلی هم کیفیتی بالا و حتی امکان فیلم‌برداری 4K را فراهم می‌کند. باتری ۵۰۰۰ میلی‌آمپرساعتی A56 با شارژ سریع ۴۵ وات، تا یک روز کامل استفاده را تضمین می‌کند. این گوشی با اندروید ۱۵ و وعده ۶ سال آپدیت، یکی از آینده‌دارترین انتخاب‌ها در دنیای میان‌رده‌هاست و بی‌دلیل نیست که A56 یکی از پرفروش‌ترین گوشی‌های این روزهاست.
9,9,phone,گوشی سامسونگ Galaxy A06,sam,9821990,۹.۸۲۱.۹۹۰,6,128,50,8,262,Samsung Galaxy A06 یکی از گوشی‌های اقتصادی و جدید سامسونگ است که با طراحی شیک، صفحه‌نمایش بزرگ و باتری قدرتمند، گزینه‌ای ایده‌آل برای کاربران روزمره محسوب می‌شود. این گوشی دارای نمایشگر 6.7 اینچی PLS LCD با رزولوشن 720x1600 پیکسل است که تجربه بصری مناسبی را ارائه می‌دهد. در بخش دوربین، از یک حسگر 50 مگاپیکسلی در کنار دوربین ماکرو 2 مگاپیکسلی استفاده شده است که در شرایط نوری مناسب، تصاویر واضح و باکیفیتی ثبت می‌کند. سامسونگ در این مدل از پردازنده MediaTek Helio G85 استفاده کرده که برای کارهای روزمره و اجرای برنامه‌های معمولی، عملکرد خوبی دارد. این گوشی با سیستم‌عامل اندروید 14 و رابط کاربری One UI 6.1 عرضه شده که تجربه نرم‌افزاری به‌روزی را برای کاربران به همراه دارد. همچنین، باتری 5000 میلی‌آمپر ساعتی آن، شارژدهی بالایی دارد و از شارژ سریع 25 واتی پشتیبانی می‌کند. اگر به دنبال یک گوشی هوشمند با قیمت مناسب و امکانات قابل قبول هستید، Galaxy A06 گزینه‌ای ارزشمند خواهد بود.
10,10,phone,گوشی سامسونگ Galaxy A06,sam,8334700,۸.۳۳۴.۷۰۰,4,128,50,8,262,Samsung Galaxy A06 یکی از گوشی‌های اقتصادی و جدید سامسونگ است که با طراحی شیک، صفحه‌نمایش بزرگ و باتری قدرتمند، گزینه‌ای ایده‌آل برای کاربران روزمره محسوب می‌شود. این گوشی دارای نمایشگر 6.7 اینچی PLS LCD با رزولوشن 720x1600 پیکسل است که تجربه بصری مناسبی را ارائه می‌دهد. در بخش دوربین، از یک حسگر 50 مگاپیکسلی در کنار دوربین ماکرو 2 مگاپیکسلی استفاده شده است که در شرایط نوری مناسب، تصاویر واضح و باکیفیتی ثبت می‌کند. سامسونگ در این مدل از پردازنده MediaTek Helio G85 استفاده کرده که برای کارهای روزمره و اجرای برنامه‌های معمولی، عملکرد خوبی دارد. این گوشی با سیستم‌عامل اندروید 14 و رابط کاربری One UI 6.1 عرضه شده که تجربه نرم‌افزاری به‌روزی را برای کاربران به همراه دارد. همچنین، باتری 5000 میلی‌آمپر ساعتی آن، شارژدهی بالایی دارد و از شارژ سریع 25 واتی پشتیبانی می‌کند. اگر به دنبال یک گوشی هوشمند با قیمت مناسب و امکانات قابل قبول هستید، Galaxy A06 گزینه‌ای ارزشمند خواهد بود.
